strategy,feature,period,bucket,n_events,n_tp1_first,n_stop_first,n_neither,n_ambiguous,n_resolved_non_ambiguous,tp1_first_rate,stop_first_rate,net_path_rate,median_mfe_signal_r,median_mae_signal_r,median_time_to_first_path
CPM-RO-001,market_breadth_24h,Holdout,LOW,27,11,9,7,0,20,0.55,0.45,0.1,0.9784172661870504,-0.8294117647058823,225.0
CPM-RO-001,market_breadth_24h,Holdout,MID,42,28,8,6,0,36,0.7777777777777778,0.2222222222222222,0.5555555555555556,2.3765632131446828,-0.6890046217057447,1207.5
CPM-RO-001,market_breadth_24h,Holdout,HIGH,289,173,73,43,0,246,0.7032520325203252,0.2967479674796748,0.4065040650406504,1.900804289544236,-0.6280193236714975,637.5
CPM-RO-001,market_breadth_24h,Full,LOW,92,48,26,18,0,74,0.6486486486486487,0.35135135135135137,0.2972972972972973,1.444004914004914,-0.7402302051424858,360.0
CPM-RO-001,market_breadth_24h,Full,MID,146,56,59,31,0,115,0.48695652173913045,0.5130434782608696,-0.02608695652173913,0.7998384838755954,-0.9122672806871375,1095.0
CPM-RO-001,market_breadth_24h,Full,HIGH,481,225,146,110,0,371,0.6064690026954178,0.3935309973045822,0.21293800539083557,1.0566037735849056,-0.7145242070116861,720.0
CPM-RO-001,market_rv_24h,Discovery,LOW,116,44,48,24,0,92,0.4782608695652174,0.5217391304347826,-0.043478260869565216,0.7824917137843634,-0.9688407415680143,487.5
CPM-RO-001,market_rv_24h,Discovery,MID,122,35,47,40,0,82,0.4268292682926829,0.573170731707317,-0.14634146341463414,0.702485380116959,-0.8296345348462612,937.5
CPM-RO-001,market_rv_24h,Discovery,HIGH,123,38,46,39,0,84,0.4523809523809524,0.5476190476190477,-0.09523809523809523,0.5928571428571427,-0.7625,1185.0
CPM-RO-001,market_rv_24h,Holdout,LOW,60,35,18,7,0,53,0.660377358490566,0.33962264150943394,0.32075471698113206,3.5488721804511276,-0.7378481231620826,480.0
CPM-RO-001,market_rv_24h,Holdout,MID,36,27,7,2,0,34,0.7941176470588235,0.20588235294117646,0.5882352941176471,2.511904761904762,-0.6100404051418117,1522.5
