strategy,cardinality,period,baseline_event_count,selected_event_count,selected_resolved_count,selected_tp1_first_count,selected_stop_first_count,selected_neither_count,selected_ambiguous_count,selected_tp1_first_rate,selected_stop_first_rate,selected_net_path_rate,excluded_event_count,excluded_resolved_count,excluded_tp1_first_count,excluded_stop_first_count,excluded_neither_count,excluded_ambiguous_count,excluded_tp1_first_rate,excluded_stop_first_rate,excluded_net_path_rate,operational_effect,good_event_capture,bad_event_rejection,opportunity_retention
CPM-RO-001,8,Discovery,361,109,73,35,38,36,0,0.4794520547945205,0.5205479452054794,-0.0410958904109589,252,185,82,103,67,0,0.44324324324324327,0.5567567567567567,-0.11351351351351352,0.07241762310255462,0.29914529914529914,0.7304964539007093,0.30193905817174516
CPM-RO-001,8,Holdout,358,122,96,68,28,26,0,0.7083333333333334,0.2916666666666667,0.4166666666666667,236,206,144,62,30,0,0.6990291262135923,0.30097087378640774,0.39805825242718446,0.01860841423948223,0.32075471698113206,0.6888888888888889,0.3407821229050279
CPM-RO-001,8,Full,719,231,169,103,66,62,0,0.6094674556213018,0.3905325443786982,0.21893491124260356,488,391,226,165,97,0,0.578005115089514,0.4219948849104859,0.15601023017902813,0.06292468106357543,0.3130699088145897,0.7142857142857143,0.32127955493741306
MI-001,16,Discovery,33,28,19,8,11,9,0,0.42105263157894735,0.5789473684210527,-0.15789473684210525,5,5,2,3,0,0,0.4,0.6,-0.2,0.04210526315789476,0.8,0.21428571428571427,0.8484848484848485
MI-001,16,Holdout,41,33,31,18,13,2,0,0.5806451612903226,0.41935483870967744,0.16129032258064516,8,8,2,6,0,0,0.25,0.75,-0.5,0.6612903225806451,0.9,0.3157894736842105,0.8048780487804879
MI-001,16,Full,74,61,50,26,24,11,0,0.52,0.48,0.04,13,13,4,9,0,0,0.3076923076923077,0.6923076923076923,-0.38461538461538464,0.4246153846153846,0.8666666666666667,0.2727272727272727,0.8243243243243243
MI-001,12,Discovery,33,21,14,6,8,7,0,0.42857142857142855,0.5714285714285714,-0.14285714285714285,12,10,4,6,2,0,0.4,0.6,-0.2,0.05714285714285716,0.6,0.42857142857142855,0.6363636363636364
MI-001,12,Holdout,41,28,26,16,10,2,0,0.6153846153846154,0.38461538461538464,0.23076923076923078,13,13,4,9,0,0,0.3076923076923077,0.6923076923076923,-0.38461538461538464,0.6153846153846154,0.8,0.47368421052631576,0.6829268292682927
MI-001,12,Full,74,49,40,22,18,9,0,0.55,0.45,0.1,25,23,8,15,2,0,0.34782608695652173,0.6521739130434783,-0.30434782608695654,0.4043478260869565,0.7333333333333333,0.45454545454545453,0.6621621621621622
MI-001,8,Discovery,33,16,13,5,8,3,0,0.38461538461538464,0.6153846153846154,-0.23076923076923078,17,11,5,6,6,0,0.45454545454545453,0.5454545454545454,-0.09090909090909091,-0.13986013986013987,0.5,0.42857142857142855,0.48484848484848486
MI-001,8,Holdout,41,25,23,13,10,2,0,0.5652173913043478,0.43478260869565216,0.13043478260869565,16,16,7,9,0,0,0.4375,0.5625,-0.125,0.2554347826086957,0.65,0.47368421052631576,0.6097560975609756
MI-001,8,Full,74,41,36,18,18,5,0,0.5,0.5,0.0,33,27,12,15,6,0,0.4444444444444444,0.5555555555555556,-0.1111111111111111,0.1111111111111111,0.6,0.45454545454545453,0.5540540540540541
MPG-001,16,Discovery,36,33,26,12,14,7,0,0.46153846153846156,0.5384615384615384,-0.07692307692307693,3,3,2,1,0,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.41025641025641024,0.8571428571428571,0.06666666666666667,0.9166666666666666
MPG-001,16,Holdout,34,31,29,20,9,2,0,0.6896551724137931,0.3103448275862069,0.3793103448275862,3,3,3,0,0,0,1.0,0.0,1.0,-0.6206896551724138,0.8695652173913043,0.0,0.9117647058823529
MPG-001,16,Full,70,64,55,32,23,9,0,0.5818181818181818,0.41818181818181815,0.16363636363636364,6,6,5,1,0,0,0.8333333333333334,0.16666666666666666,0.6666666666666666,-0.5030303030303029,0.8648648648648649,0.041666666666666664,0.9142857142857143
MPG-001,12,Discovery,36,32,25,12,13,7,0,0.48,0.52,-0.04,4,4,2,2,0,0,0.5,0.5,0.0,-0.04,0.8571428571428571,0.13333333333333333,0.8888888888888888
MPG-001,12,Holdout,34,30,29,20,9,1,0,0.6896551724137931,0.3103448275862069,0.3793103448275862,4,3,3,0,1,0,1.0,0.0,1.0,-0.6206896551724138,0.8695652173913043,0.0,0.8823529411764706
MPG-001,12,Full,70,62,54,32,22,8,0,0.5925925925925926,0.4074074074074074,0.18518518518518517,8,7,5,2,1,0,0.7142857142857143,0.2857142857142857,0.42857142857142855,-0.24338624338624337,0.8648648648648649,0.08333333333333333,0.8857142857142857
MPG-001,8,Discovery,36,27,23,11,12,4,0,0.4782608695652174,0.5217391304347826,-0.043478260869565216,9,6,3,3,3,0,0.5,0.5,0.0,-0.043478260869565216,0.7857142857142857,0.2,0.75
MPG-001,8,Holdout,34,27,26,17,9,1,0,0.6538461538461539,0.34615384615384615,0.3076923076923077,7,6,6,0,1,0,1.0,0.0,1.0,-0.6923076923076923,0.7391304347826086,0.0,0.7941176470588235
MPG-001,8,Full,70,54,49,28,21,5,0,0.5714285714285714,0.42857142857142855,0.14285714285714285,16,12,9,3,4,0,0.75,0.25,0.5,-0.35714285714285715,0.7567567567567568,0.125,0.7714285714285715
